Reaction,LB,UB,c,EQUATION,subSystem,GeneRule,RXNname
HMR_3187,0,1000,0,(2E)-tridecenoyl-CoA[m] + H2O[m] => 3-hydroxytridecanoyl-CoA[m],Beta oxidation of odd-chain fatty acids (mitochondrial),ENSG00000084754 and ENSG00000113790 and ENSG00000127884,
HMR_3188,0,1000,0,3-hydroxytridecanoyl-CoA[m] + NAD+[m] => 3-oxotridecanoyl-CoA[m] + H+[m] + NADH[m],Beta oxidation of odd-chain fatty acids (mitochondrial),ENSG00000072506 and ENSG00000084754 and ENSG00000138796,
HMR_3189,0,1000,0,3-oxotridecanoyl-CoA[m] + CoA[m] => acetyl-CoA[m] + undecanoyl-CoA[m],Beta oxidation of odd-chain fatty acids (mitochondrial),ENSG00000084754 and ENSG00000138029 and ENSG00000167315,
HMR_3190,0,1000,0,FAD[m] + undecanoyl-CoA[m] => (2E)-undecenoyl-CoA[m] + FADH2[m],Beta oxidation of odd-chain fatty acids (mitochondrial),ENSG00000117054 or ENSG00000177646,
HMR_3191,0,1000,0,(2E)-undecenoyl-CoA[m] + H2O[m] => 3-hydroxyundecanoyl-CoA[m],Beta oxidation of odd-chain fatty acids (mitochondrial),ENSG00000084754 and ENSG00000113790 and ENSG00000127884,
HMR_3192,0,1000,0,3-hydroxyundecanoyl-CoA[m] + NAD+[m] => 3-oxoundecanoyl-CoA[m] + H+[m] + NADH[m],Beta oxidation of odd-chain fatty acids (mitochondrial),ENSG00000072506 and ENSG00000084754 and ENSG00000138796,
HMR_3193,0,1000,0,3-oxoundecanoyl-CoA[m] + CoA[m] => acetyl-CoA[m] + nonanoyl-CoA[m],Beta oxidation of odd-chain fatty acids (mitochondrial),ENSG00000084754 and ENSG00000138029 and ENSG00000167315,
HMR_3194,0,1000,0,FAD[m] + nonanoyl-CoA[m] => (2E)-nonenoyl-CoA[m] + FADH2[m],Beta oxidation of odd-chain fatty acids (mitochondrial),ENSG00000117054 or ENSG00000177646,
HMR_3195,0,1000,0,(2E)-nonenoyl-CoA[m] + H2O[m] => 3-hydroxynonanoyl-CoA[m],Beta oxidation of odd-chain fatty acids (mitochondrial),ENSG00000084754 and ENSG00000113790 and ENSG00000127884,
HMR_3196,0,1000,0,3-hydroxynonanoyl-CoA[m] + NAD+[m] => 3-oxononanoyl-CoA[m] + H+[m] + NADH[m],Beta oxidation of odd-chain fatty acids (mitochondrial),ENSG00000072506 and ENSG00000084754 and ENSG00000138796,
HMR_3197,0,1000,0,3-oxononanoyl-CoA[m] + CoA[m] => acetyl-CoA[m] + heptanoyl-CoA[m],Beta oxidation of odd-chain fatty acids (mitochondrial),ENSG00000084754 and ENSG00000138029 and ENSG00000167315,
HMR_3198,0,1000,0,FAD[m] + heptanoyl-CoA[m] => (2E)-heptenoyl-CoA[m] + FADH2[m],Beta oxidation of odd-chain fatty acids (mitochondrial),ENSG00000117054 or ENSG00000177646,
HMR_3199,0,1000,0,(2E)-heptenoyl-CoA[m] + H2O[m] => 3-hydroxyheptanoyl-CoA[m],Beta oxidation of odd-chain fatty acids (mitochondrial),ENSG00000084754 and ENSG00000113790 and ENSG00000127884,
HMR_3200,0,1000,0,3-hydroxyheptanoyl-CoA[m] + NAD+[m] => 3-oxoheptanoyl-CoA[m] + H+[m] + NADH[m],Beta oxidation of odd-chain fatty acids (mitochondrial),ENSG00000072506 and ENSG00000084754 and ENSG00000138796,
HMR_3201,0,1000,0,3-oxoheptanoyl-CoA[m] + CoA[m] => acetyl-CoA[m] + pentanoyl-CoA[m],Beta oxidation of odd-chain fatty acids (mitochondrial),ENSG00000084754 and ENSG00000138029 and ENSG00000167315,
HMR_3202,0,1000,0,FAD[m] + pentanoyl-CoA[m] => (2E)-pentenoyl-CoA[m] + FADH2[m],Beta oxidation of odd-chain fatty acids (mitochondrial),ENSG00000196177,
HMR_3203,0,1000,0,(2E)-pentenoyl-CoA[m] + H2O[m] => 3-hydroxypentanoyl-CoA[m],Beta oxidation of odd-chain fatty acids (mitochondrial),ENSG00000084754 and ENSG00000113790 and ENSG00000127884,
HMR_3204,0,1000,0,3-hydroxypentanoyl-CoA[m] + NAD+[m] => 3-oxopentanoyl-CoA[m] + H+[m] + NADH[m],Beta oxidation of odd-chain fatty acids (mitochondrial),ENSG00000072506 and ENSG00000084754 and ENSG00000138796,
HMR_3205,0,1000,0,3-oxopentanoyl-CoA[m] + CoA[m] => acetyl-CoA[m] + propanoyl-CoA[m],Beta oxidation of odd-chain fatty acids (mitochondrial),ENSG00000084754 and ENSG00000138029 and ENSG00000167315,
HMR_3396,0,1000,0,(10Z)-heptadecenoyl-CoA[m] + 7 CoA[m] + 6 FAD[m] + 7 H2O[m] + 7 NAD+[m] => 7 acetyl-CoA[m] + 6 FADH2[m] + 7 H+[m] + 7 NADH[m] + propanoyl-CoA[m],Beta oxidation of odd-chain fatty acids (mitochondrial),,
HMR_3397,0,1000,0,9-heptadecenoyl-CoA[m] + 7 CoA[m] + 6 FAD[m] + 7 H2O[m] + 7 NAD+[m] => 7 acetyl-CoA[m] + 6 FADH2[m] + 7 H+[m] + 7 NADH[m] + propanoyl-CoA[m],Beta oxidation of odd-chain fatty acids (mitochondrial),,
HMR_3240,0,1000,0,(13Z)-eicosenoyl-CoA[m] + FAD[m] => FADH2[m] + trans;cis-2;13-eicosadienoyl-CoA[m],Beta oxidation of unsaturated fatty acids (n-7) (mitochondrial),ENSG00000072778 or ENSG00000115361 or ENSG00000117054 or ENSG00000177646,
HMR_3241,0,1000,0,H2O[m] + trans;cis-2;13-eicosadienoyl-CoA[m] => 3(S)-hydroxy-13-cis-eicosenoyl-CoA[m],Beta oxidation of unsaturated fatty acids (n-7) (mitochondrial),ENSG00000084754 and ENSG00000113790 and ENSG00000127884,
HMR_3242,0,1000,0,3(S)-hydroxy-13-cis-eicosenoyl-CoA[m] + NAD+[m] => 3-oxo-13-cis-eicosenoyl-CoA[m] + H+[m] + NADH[m],Beta oxidation of unsaturated fatty acids (n-7) (mitochondrial),ENSG00000072506 and ENSG00000084754 and ENSG00000138796,
HMR_3243,0,1000,0,3-oxo-13-cis-eicosenoyl-CoA[m] + CoA[m] => acetyl-CoA[m] + cis-vaccenoyl-CoA[m],Beta oxidation of unsaturated fatty acids (n-7) (mitochondrial),ENSG00000084754 and ENSG00000138029 and ENSG00000167315,
HMR_3244,0,1000,0,cis-vaccenoyl-CoA[m] + FAD[m] => FADH2[m] + trans;cis-octadeca-2;11-dienoyl-CoA[m],Beta oxidation of unsaturated fatty acids (n-7) (mitochondrial),ENSG00000072778 or ENSG00000115361 or ENSG00000117054 or ENSG00000177646,
HMR_3245,0,1000,0,H2O[m] + trans;cis-octadeca-2;11-dienoyl-CoA[m] => (S)-3-hydroxy-11-cis-octadecenoyl-CoA[m],Beta oxidation of unsaturated fatty acids (n-7) (mitochondrial),ENSG00000084754 and ENSG00000113790 and ENSG00000127884,
HMR_3246,0,1000,0,(S)-3-hydroxy-11-cis-octadecenoyl-CoA[m] + NAD+[m] => 3-oxo-11-cis-octadecenoyl-CoA[m] + H+[m] + NADH[m],Beta oxidation of unsaturated fatty acids (n-7) (mitochondrial),ENSG00000072506 and ENSG00000084754 and ENSG00000138796,
HMR_3247,0,1000,0,3-oxo-11-cis-octadecenoyl-CoA[m] + CoA[m] => acetyl-CoA[m] + palmitoleoyl-CoA[m],Beta oxidation of unsaturated fatty acids (n-7) (mitochondrial),ENSG00000084754 and ENSG00000138029 and ENSG00000167315,
HMR_3250,0,1000,0,FAD[m] + palmitoleoyl-CoA[m] => FADH2[m] + trans;cis-hexadeca-2;9-dienoyl-CoA[m],Beta oxidation of unsaturated fatty acids (n-7) (mitochondrial),ENSG00000072778 or ENSG00000115361 or ENSG00000117054 or ENSG00000177646,
HMR_3252,0,1000,0,H2O[m] + trans;cis-hexadeca-2;9-dienoyl-CoA[m] => (S)-3-hydroxypalmitoleoyl-CoA[m],Beta oxidation of unsaturated fatty acids (n-7) (mitochondrial),ENSG00000084754 and ENSG00000113790 and ENSG00000127884,
HMR_3254,0,1000,0,(S)-3-hydroxypalmitoleoyl-CoA[m] + NAD+[m] => 3-oxopalmitoleoyl-CoA[m] + H+[m] + NADH[m],Beta oxidation of unsaturated fatty acids (n-7) (mitochondrial),ENSG00000072506 and ENSG00000084754 and ENSG00000138796,
HMR_3256,0,1000,0,3-oxopalmitoleoyl-CoA[m] + CoA[m] => (7Z)-tetradecenoyl-CoA[m] + acetyl-CoA[m],Beta oxidation of unsaturated fatty acids (n-7) (mitochondrial),ENSG00000084754 and ENSG00000138029 and ENSG00000167315,
HMR_3258,0,1000,0,(7Z)-tetradecenoyl-CoA[m] + FAD[m] => FADH2[m] + trans;cis-myristo-2;7-dienoyl-CoA[m],Beta oxidation of unsaturated fatty acids (n-7) (mitochondrial),ENSG00000072778 or ENSG00000115361 or ENSG00000117054 or ENSG00000177646,
HMR_3260,0,1000,0,H2O[m] + trans;cis-myristo-2;7-dienoyl-CoA[m] => cis-(3S)-hydroxytetradec-7-enoyl-CoA[m],Beta oxidation of unsaturated fatty acids (n-7) (mitochondrial),ENSG00000084754 and ENSG00000113790 and ENSG00000127884,
HMR_3262,0,1000,0,cis-(3S)-hydroxytetradec-7-enoyl-CoA[m] + NAD+[m] => 3-oxomyrist-7-enoyl-CoA[m] + H+[m] + NADH[m],Beta oxidation of unsaturated fatty acids (n-7) (mitochondrial),ENSG00000072506 and ENSG00000084754 and ENSG00000138796,
HMR_3264,0,1000,0,3-oxomyrist-7-enoyl-CoA[m] + CoA[m] => (5Z)-dodecenoyl-CoA[m] + acetyl-CoA[m],Beta oxidation of unsaturated fatty acids (n-7) (mitochondrial),ENSG00000084754 and ENSG00000138029 and ENSG00000167315,
HMR_3272,-1000,1000,0,(2E)-dodecenoyl-CoA[m] <=> (5Z)-dodecenoyl-CoA[m],Beta oxidation of unsaturated fatty acids (n-7) (mitochondrial),ENSG00000104823 or ENSG00000167969 or ENSG00000198721,
HMR_3356,0,1000,0,(13Z)-eicosenoyl-CoA[p] + O2[p] => H2O2[p] + trans;cis-2;13-eicosadienoyl-CoA[p],Beta oxidation of unsaturated fatty acids (n-7) (peroxisomal),ENSG00000087008 or ENSG00000161533,
HMR_3357,0,1000,0,H2O[p] + trans;cis-2;13-eicosadienoyl-CoA[p] => 3(S)-hydroxy-13-cis-eicosenoyl-CoA[p],Beta oxidation of unsaturated fatty acids (n-7) (peroxisomal),ENSG00000084754 and ENSG00000113790 and ENSG00000167969 and ENSG00000198721,
HMR_3358,0,1000,0,3(S)-hydroxy-13-cis-eicosenoyl-CoA[p] + NAD+[p] => 3-oxo-13-cis-eicosenoyl-CoA[p] + H+[p] + NADH[p],Beta oxidation of unsaturated fatty acids (n-7) (peroxisomal),ENSG00000060971 and ENSG00000113790 and ENSG00000133835,
HMR_3359,0,1000,0,3-oxo-13-cis-eicosenoyl-CoA[p] + CoA[p] => acetyl-CoA[p] + cis-vaccenoyl-CoA[p],Beta oxidation of unsaturated fatty acids (n-7) (peroxisomal),ENSG00000060971 and ENSG00000167306,
HMR_3360,0,1000,0,cis-vaccenoyl-CoA[p] + O2[p] => H2O2[p] + trans;cis-octadeca-2;11-dienoyl-CoA[p],Beta oxidation of unsaturated fatty acids (n-7) (peroxisomal),ENSG00000087008 or ENSG00000161533,
HMR_3361,0,1000,0,H2O[p] + trans;cis-octadeca-2;11-dienoyl-CoA[p] => (S)-3-hydroxy-11-cis-octadecenoyl-CoA[p],Beta oxidation of unsaturated fatty acids (n-7) (peroxisomal),ENSG00000084754 and ENSG00000113790 and ENSG00000167969 and ENSG00000198721,
HMR_3362,0,1000,0,(S)-3-hydroxy-11-cis-octadecenoyl-CoA[p] + NAD+[p] => 3-oxo-11-cis-octadecenoyl-CoA[p] + H+[p] + NADH[p],Beta oxidation of unsaturated fatty acids (n-7) (peroxisomal),ENSG00000060971 and ENSG00000113790 and ENSG00000133835,
HMR_3363,0,1000,0,3-oxo-11-cis-octadecenoyl-CoA[p] + CoA[p] => acetyl-CoA[p] + palmitoleoyl-CoA[p],Beta oxidation of unsaturated fatty acids (n-7) (peroxisomal),ENSG00000060971 and ENSG00000167306,
HMR_3218,0,1000,0,(13Z)-docosenoyl-CoA[m] + FAD[m] => FADH2[m] + trans;cis-2;13-docosadienoyl-CoA[m],Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial),ENSG00000072778 or ENSG00000115361 or ENSG00000117054 or ENSG00000177646,
HMR_3219,0,1000,0,H2O[m] + trans;cis-2;13-docosadienoyl-CoA[m] => 3(S)-hydroxy-13-cis-docosenoyl-CoA[m],Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial),ENSG00000084754 and ENSG00000113790 and ENSG00000127884,
HMR_3220,0,1000,0,3(S)-hydroxy-13-cis-docosenoyl-CoA[m] + NAD+[m] => 3-oxo-13cis-docosenoyl-CoA[m] + H+[m] + NADH[m],Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial),ENSG00000072506 and ENSG00000084754 and ENSG00000138796,
HMR_3221,0,1000,0,3-oxo-13cis-docosenoyl-CoA[m] + CoA[m] => (11Z)-eicosenoyl-CoA[m] + acetyl-CoA[m],Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial),ENSG00000084754 and ENSG00000138029 and ENSG00000167315,
HMR_3222,0,1000,0,(11Z)-eicosenoyl-CoA[m] + FAD[m] => FADH2[m] + trans;cis-2;11-eicosadienoyl-CoA[m],Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial),ENSG00000072778 or ENSG00000115361 or ENSG00000117054 or ENSG00000177646,
HMR_3223,0,1000,0,H2O[m] + trans;cis-2;11-eicosadienoyl-CoA[m] => 3(S)-hydroxy-11-cis-eicosenoyl-CoA[m],Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial),ENSG00000084754 and ENSG00000113790 and ENSG00000127884,
HMR_3224,0,1000,0,3(S)-hydroxy-11-cis-eicosenoyl-CoA[m] + NAD+[m] => 3-oxo-11-cis-eicosenoyl-CoA[m] + H+[m] + NADH[m],Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial),ENSG00000072506 and ENSG00000084754 and ENSG00000138796,
HMR_3225,0,1000,0,3-oxo-11-cis-eicosenoyl-CoA[m] + CoA[m] => acetyl-CoA[m] + oleoyl-CoA[m],Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial),ENSG00000084754 and ENSG00000138029 and ENSG00000167315,
HMR_3226,0,1000,0,FAD[m] + oleoyl-CoA[m] => FADH2[m] + trans;cis-octadeca-2;9-dienoyl-CoA[m],Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial),ENSG00000072778 or ENSG00000115361 or ENSG00000117054 or ENSG00000177646,
HMR_3227,0,1000,0,H2O[m] + trans;cis-octadeca-2;9-dienoyl-CoA[m] => (S)-3-hydroxyoleyleoyl-CoA[m],Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial),ENSG00000084754 and ENSG00000113790 and ENSG00000127884,
HMR_3228,0,1000,0,(S)-3-hydroxyoleyleoyl-CoA[m] + NAD+[m] => 3-oxooleoyl-CoA[m] + H+[m] + NADH[m],Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial),ENSG00000072506 and ENSG00000084754 and ENSG00000138796,
HMR_3229,0,1000,0,3-oxooleoyl-CoA[m] + CoA[m] => 7-hexadecenoyl-CoA[m] + acetyl-CoA[m],Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial),ENSG00000084754 and ENSG00000138029 and ENSG00000167315,
HMR_3230,0,1000,0,7-hexadecenoyl-CoA[m] + FAD[m] => FADH2[m] + trans;cis-hexadeca-2;7-dienoyl-CoA[m],Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial),ENSG00000072778 or ENSG00000115361 or ENSG00000117054 or ENSG00000177646,
HMR_3231,0,1000,0,H2O[m] + trans;cis-hexadeca-2;7-dienoyl-CoA[m] => (S)-3-hydroxy-7-hexadecenoyl-CoA[m],Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial),ENSG00000084754 and ENSG00000113790 and ENSG00000127884,
HMR_3232,0,1000,0,(S)-3-hydroxy-7-hexadecenoyl-CoA[m] + NAD+[m] => 3-oxo-7-hexadecenoyl-CoA[m] + H+[m] + NADH[m],Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial),ENSG00000072506 and ENSG00000084754 and ENSG00000138796,
HMR_3233,0,1000,0,3-oxo-7-hexadecenoyl-CoA[m] + CoA[m] => 5-tetradecenoyl-CoA[m] + acetyl-CoA[m],Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial),ENSG00000084754 and ENSG00000138029 and ENSG00000167315,
HMR_3234,0,1000,0,5-tetradecenoyl-CoA[m] + FAD[m] => FADH2[m] + trans;cis-myristo-2;5-dienoyl-CoA[m],Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial),ENSG00000072778 or ENSG00000115361 or ENSG00000117054 or ENSG00000177646,
HMR_3235,0,1000,0,H2O[m] + trans;cis-myristo-2;5-dienoyl-CoA[m] => cis-(3S)-hydroxytetradec-5-enoyl-CoA[m],Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial),ENSG00000084754 and ENSG00000113790 and ENSG00000127884,
HMR_3236,0,1000,0,cis-(3S)-hydroxytetradec-5-enoyl-CoA[m] + NAD+[m] => 3-oxomyrist-5-enoyl-CoA[m] + H+[m] + NADH[m],Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial),ENSG00000072506 and ENSG00000084754 and ENSG00000138796,
HMR_3237,0,1000,0,3-oxomyrist-5-enoyl-CoA[m] + CoA[m] => (3Z)-dodecenoyl-CoA[m] + acetyl-CoA[m],Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial),ENSG00000084754 and ENSG00000138029 and ENSG00000167315,
HMR_3239,-1000,1000,0,(2E)-dodecenoyl-CoA[m] <=> (3Z)-dodecenoyl-CoA[m],Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial),ENSG00000104823 or ENSG00000167969 or ENSG00000198721,
HMR_3275,0,1000,0,FAD[m] + linoleoyl-CoA[m] => FADH2[m] + trans;cis;cis-2;9;12-octadecatrienoyl-CoA[m],Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial),ENSG00000072778 or ENSG00000115361 or ENSG00000117054 or ENSG00000177646,
HMR_3277,0,1000,0,H2O[m] + trans;cis;cis-2;9;12-octadecatrienoyl-CoA[m] => (3S)-3-hydroxylinoleoyl-CoA[m],Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial),ENSG00000084754 and ENSG00000113790 and ENSG00000127884,
HMR_3278,0,1000,0,(3S)-3-hydroxylinoleoyl-CoA[m] + NAD+[m] => 3-oxolinoleoyl-CoA[m] + H+[m] + NADH[m],Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial),ENSG00000072506 and ENSG00000084754 and ENSG00000138796,
HMR_3279,0,1000,0,3-oxolinoleoyl-CoA[m] + CoA[m] => acetyl-CoA[m] + cis;cis-palmito-7;10-dienoyl-CoA[m],Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial),ENSG00000084754 and ENSG00000138029 and ENSG00000167315,
HMR_3280,0,1000,0,cis;cis-palmito-7;10-dienoyl-CoA[m] + FAD[m] => FADH2[m] + trans;cis;cis-2;7;10-hexadecatrienoyl-CoA[m],Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial),ENSG00000072778 or ENSG00000115361 or ENSG00000117054 or ENSG00000177646,
HMR_3281,0,1000,0,H2O[m] + trans;cis;cis-2;7;10-hexadecatrienoyl-CoA[m] => (3S)-3-hydroxy-cis;cis-palmito-7;10-dienoyl-CoA[m],Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial),ENSG00000084754 and ENSG00000113790 and ENSG00000127884,
HMR_3282,0,1000,0,(3S)-3-hydroxy-cis;cis-palmito-7;10-dienoyl-CoA[m] + NAD+[m] => 3-oxo-cis;cis-7;10-hexadecadienoyl-CoA[m] + H+[m] + NADH[m],Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial),ENSG00000072506 and ENSG00000084754 and ENSG00000138796,
HMR_3283,0,1000,0,3-oxo-cis;cis-7;10-hexadecadienoyl-CoA[m] + CoA[m] => acetyl-CoA[m] + cis;cis-myristo-5;8-dienoyl-CoA[m],Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial),ENSG00000084754 and ENSG00000138029 and ENSG00000167315,
HMR_3284,0,1000,0,cis;cis-myristo-5;8-dienoyl-CoA[m] + FAD[m] => FADH2[m] + trans-2-cis;cis-5;8-tetradecatrienoyl-CoA[m],Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial),ENSG00000072778 or ENSG00000115361 or ENSG00000117054 or ENSG00000177646,
HMR_3285,0,1000,0,H2O[m] + trans-2-cis;cis-5;8-tetradecatrienoyl-CoA[m] => 3(S)-hydroxy-(5Z;8Z)-tetradecadienoyl-CoA[m],Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial),ENSG00000084754 and ENSG00000113790 and ENSG00000127884,
HMR_3286,0,1000,0,3(S)-hydroxy-(5Z;8Z)-tetradecadienoyl-CoA[m] + NAD+[m] => 3-oxo-cis;cis-5;8-tetradecadienoyl-CoA[m] + H+[m] + NADH[m],Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial),ENSG00000072506 and ENSG00000084754 and ENSG00000138796,
HMR_3287,0,1000,0,3-oxo-cis;cis-5;8-tetradecadienoyl-CoA[m] + CoA[m] => acetyl-CoA[m] + cis;cis-3;6-dodecadienoyl-CoA[m],Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial),ENSG00000084754 and ENSG00000138029 and ENSG00000167315,
HMR_3288,0,1000,0,cis;cis-3;6-dodecadienoyl-CoA[m] => trans;cis-lauro-2;6-dienoyl-CoA[m],Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial),ENSG00000104823 or ENSG00000167969 or ENSG00000198721 or ENSG00000113790,
HMR_3290,0,1000,0,H2O[m] + trans;cis-lauro-2;6-dienoyl-CoA[m] => (3S)-3-hydroxydodec-cis-6-enoyl-CoA[m],Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial),ENSG00000084754 and ENSG00000113790 and ENSG00000127884,
HMR_3292,0,1000,0,(3S)-3-hydroxydodec-cis-6-enoyl-CoA[m] + NAD+[m] => 3-oxolaur-6-cis-enoyl-CoA[m] + H+[m] + NADH[m],Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial),ENSG00000072506 and ENSG00000084754 and ENSG00000138796,
HMR_3293,0,1000,0,3-oxolaur-6-cis-enoyl-CoA[m] + CoA[m] => 4-cis-decenoyl-CoA[m] + acetyl-CoA[m],Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial),ENSG00000084754 and ENSG00000138029 and ENSG00000167315,
HMR_3294,0,1000,0,4-cis-decenoyl-CoA[m] + FAD[m] => 2-trans-4-cis-decadienoyl-CoA[m] + FADH2[m],Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial),ENSG00000072778 or ENSG00000115361 or ENSG00000117054 or ENSG00000177646,
HMR_3296,0,1000,0,2-trans-4-cis-decadienoyl-CoA[m] + H+[m] + NADH[m] => NAD+[m] + trans-3-decenoyl-CoA[m],Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial),ENSG00000104325 or ENSG00000242612,
HMR_3298,-1000,1000,0,(2E)-decenoyl-CoA[m] <=> trans-3-decenoyl-CoA[m],Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial),ENSG00000167969 or ENSG00000198721,
HMR_1174,0,1000,0,3-oxo-10(R)-hydroxy-octadeca-(6E;8E;12Z)-trienoate[m] + CoA[m] => 8(R)-hydroxy-hexadeca-(4E;6E;10Z)-trienoate[m] + acetyl-CoA[m],Beta oxidation of poly-unsaturated fatty acids (mitochondrial),ENSG00000084754 and ENSG00000138029 and ENSG00000167315,
HMR_1175,0,1000,0,8(R)-hydroxy-hexadeca-(4E;6E;10Z)-trienoate[m] + O2[m] => 8(R)-hydroxy-hexadeca-(2E;4E;6E;10Z)-tetraenoate[m] + H2O2[m],Beta oxidation of poly-unsaturated fatty acids (mitochondrial),ENSG00000087008 or ENSG00000161533,
HMR_1176,0,1000,0,8(R)-hydroxy-hexadeca-(2E;4E;6E;10Z)-tetraenoate[m] + H+[m] + NADPH[m] => 8(R)-hydroxy-hexadeca-(2E;6E;10Z)-trienoate[m] + NADP+[m],Beta oxidation of poly-unsaturated fatty acids (mitochondrial),ENSG00000104325 or ENSG00000242612,
HMR_1177,0,1000,0,8(R)-hydroxy-hexadeca-(2E;6E;10Z)-trienoate[m] + H2O[m] => 3(S);8(R)-dihydroxy-(6E;10Z)-hexadecadienoate[m],Beta oxidation of poly-unsaturated fatty acids (mitochondrial),ENSG00000084754 and ENSG00000113790 and ENSG00000127884,
HMR_1178,0,1000,0,3(S);8(R)-dihydroxy-(6E;10Z)-hexadecadienoate[m] + NAD+[m] => 3-oxo-8(R)-hydroxy-hexadeca-(6E;10Z)-dienoate[m] + H+[m] + NADH[m],Beta oxidation of poly-unsaturated fatty acids (mitochondrial),ENSG00000072506 and ENSG00000084754 and ENSG00000138796,
HMR_1179,0,1000,0,3-oxo-8(R)-hydroxy-hexadeca-(6E;10Z)-dienoate[m] + CoA[m] => 6(R)-hydroxy-tetradeca-(4E;8Z)-dienoate[m] + acetyl-CoA[m],Beta oxidation of poly-unsaturated fatty acids (mitochondrial),ENSG00000084754 and ENSG00000138029 and ENSG00000167315,
HMR_1180,0,1000,0,6(R)-hydroxy-tetradeca-(4E;8Z)-dienoate[m] + O2[m] => 6(R)-hydroxy-tetradeca-(2E;4E;8Z)-trienoate[m] + H2O2[m],Beta oxidation of poly-unsaturated fatty acids (mitochondrial),ENSG00000087008 or ENSG00000161533,
HMR_1181,-1000,1000,0,6(R)-hydroxy-tetradeca-(2E;4E;8Z)-trienoate[m] + H+[m] + NADPH[m] <=> 6(R)-hydroxy-tetradeca-(2E;8Z)-dienoate[m] + NADP+[m],Beta oxidation of poly-unsaturated fatty acids (mitochondrial),ENSG00000104325 or ENSG00000242612,
HMR_1182,0,1000,0,6(R)-hydroxy-tetradeca-(2E;8Z)-dienoate[m] + H2O[m] => 3(S);6(R)-dihydroxy-tetradec-(8Z)-enoate[m],Beta oxidation of poly-unsaturated fatty acids (mitochondrial),ENSG00000084754 and ENSG00000113790 and ENSG00000127884,
HMR_1183,0,1000,0,3(S);6(R)-dihydroxy-tetradec-(8Z)-enoate[m] + NAD+[m] => 3-oxo-6(R)-hydroxy-tetradec-8-cis-enoate[m] + H+[m] + NADH[m],Beta oxidation of poly-unsaturated fatty acids (mitochondrial),ENSG00000072506 and ENSG00000084754 and ENSG00000138796,
HMR_1184,0,1000,0,3-oxo-6(R)-hydroxy-tetradec-8-cis-enoate[m] + CoA[m] => 4(R)-hydroxy-dodec-(6Z)-enoate[m] + acetyl-CoA[m],Beta oxidation of poly-unsaturated fatty acids (mitochondrial),ENSG00000084754 and ENSG00000138029 and ENSG00000167315,
HMR_1216,0,1000,0,3-oxo-10(S)-hydroxy-octadeca-(6E;8E;12Z)-trienoate[m] + CoA[m] => 8(S)-hydroxy-hexadeca-(4E;6E;10Z)-trienoate[m] + acetyl-CoA[m],Beta oxidation of poly-unsaturated fatty acids (mitochondrial),ENSG00000084754 and ENSG00000138029 and ENSG00000167315,
HMR_1217,0,1000,0,8(S)-hydroxy-hexadeca-(4E;6E;10Z)-trienoate[m] + O2[m] => 8(S)-hydroxy-hexadeca-(2E;4E;6E;10Z)-tetraenoate[m] + H2O2[m],Beta oxidation of poly-unsaturated fatty acids (mitochondrial),ENSG00000087008 or ENSG00000161533,
